Q No,Question Text,Option 1,Option 2,Option 3,Option 4,Error if any,Answer Key,Solution
15, If $x^{2}-2 x \cos \theta+1=0$ then the value of $\arg \left(\frac{1+x}{1-x}\right)$ is:@@@, $\frac{\pi}{2}$ or $\frac{3 \pi}{2}$, $\frac{\pi}{2}-\theta$ or $\frac{3 \pi}{2}+\theta$, $\frac{\pi}{4}$ or $\frac{5 \pi}{4}$, $0$ or $\pi$,NULL,a,$x^{2}-2 x \cos \theta+1=0$$\Rightarrow x=e^{i \theta}$ or $e^{-i \theta}$$\Rightarrow \arg \left(\frac{1+x}{1-x}\right)=\arg \left(\frac{1+e^{i \theta}}{1-e^{i \theta}}\right)=\arg \left(i \cot \frac{\theta}{2}\right)$$\Rightarrow \frac{\pi}{2}$ or $\frac{3 \pi}{2}$
16, Differential coefficient of $\tan ^{-1} \frac{2 x}{1-x^{2}}$ with respect to $\sin ^{-1} \frac{2 x}{1+x^{2}}$ will be@@@, $1$, $-1$, $-1 / 2$, $x$,NULL,a,"Let $u=\tan ^{-1} \frac{2 x}{1-x^{2}} \quad \ldots \ldots$ (i)and $v=\sin ^{-1} \frac{2 x}{1+x^{2}} \quad \ldots \ldots$ (ii)In equation (i) put, $x=\tan \theta$$\therefore u=\tan ^{-1}\left[\frac{2 \tan \theta}{1-\tan ^{2} \theta}\right]=\tan ^{-1}(\tan 2 \theta)$$\Rightarrow u=2 \theta \Rightarrow \frac{d u}{d \theta}=2 \ldots \ldots (a)$In equation (ii), put $x=\tan \theta$$\therefore v=\sin ^{-1}\left[\frac{2 \tan \theta}{1+\tan ^{2} \theta}\right]=\sin ^{-1}(\sin 2 \theta)$$\Rightarrow v=2 \theta \Rightarrow \frac{d v}{d \theta}=2 \ldots \ldots \ldots (b)$From equations $(a)$ and $(b)$,$\frac{d u}{d v}=\frac{d u}{d \theta} \times \frac{d \theta}{d v}=2 \times \frac{1}{2}=1$$\therefore$ required differential coefficient will be $1$."
17, $F_{n}(x)=\int(\log x)^{n} d x$ and $G_{n}(x)=F_{n}(x)+n F_{n-1}(x)$ the $G_{n}(x)$ is equal to : ($K$ is any real arbitrary constant)@@@, $(\log x)^{n}+K$, $x \frac{(\log x)^{n+1}}{n+1}+K$, $n(\log x)^{n+1}+K$, None of these,NULL,d,$F_{n}(x)=\int(\log x)^{n} d x$$\Rightarrow F_{n}(x)=x(\log (x))^{n}-n \int(\log x)^{n-1} d x+K$$\Rightarrow F_{n}(x)=x(\log x)^{n}-n F_{n-1}(x)+K$$\Rightarrow F_{n}(x)+n F_{n-1}(x)=x(\log x)^{n}+K$$\Rightarrow G_{n}(x)=x(\log x)^{n}+K$
18," The value of $\lim _{x \rightarrow 0^{+}} x^{m}(\log x)^{n}, m, n \in N$ is@@@", $0$, $\frac{\mathrm{m}}{\mathrm{n}}$, $\mathrm{mn}$, None of these,NULL,a,"$\lim _{x \rightarrow 0^{+}} x^{m}(\log x)^{n}=\lim _{x \rightarrow 0^{+}} \frac{(\log x)^{n}}{x^{-m}},\left(\frac{\infty}{\infty}\right.$ Form $)$$=\lim _{x \rightarrow 0^{+}} \frac{n(\log x)^{(n-1)} \frac{1}{x}}{-m x^{-m-1}} \quad$ [Using L-Hospital's rule]$=\lim _{x \rightarrow 0^{+}} \frac{n(\log x)^{(n-1)}}{-m x^{-m}},\left(\frac{\infty}{\infty}\right.$ Form $)$$=\lim _{x \rightarrow 0^{+}} \frac{n(n-1)(\log x)^{(n-2)} \frac{1}{x}}{(-m)^{2} x^{-m-1}}$[Again using L-Hospital's rule]$=\lim _{x \rightarrow 0^{+}} \frac{n(n-1)(\log x)^{n-2}}{m^{2} x^{-m}},\left(\frac{\infty}{\infty}\right.$ Form $)$![original image](https://cdn.mathpix.com/snip/images/B2GzNkh0yIFwbhJsg1ZcO-tVGuXUdSgiCuusH34o4ak.original.fullsize.png)$=\lim _{x \rightarrow 0^{+}} \frac{n !}{(-m)^{n} x^{-m}}=0$"
19," Exactly one root of cubic expression $x^{3}-12 x+5$ lie in :$\mathrm{III.}$ $(2, \infty)$@@@","athrm{I.}$ $(-\infty,-2)$","athrm{II.}$ $(-2,2)$", Both $\mathrm{I}$ and $\mathrm{II}$ but not $\mathrm{III}$, Both $\mathrm{I}$ and $\mathrm{III}$ but not $\mathrm{II}$, Both $\mathrm{II}$ and $\mathrm{III}$ but not $\mathrm{I}$," All $\mathrm{I}$, $\mathrm{II}$ and $\mathrm{III}$",NULL,d,"Let $f(x)=x^{3}-12 x+5$$f(-\infty) \rightarrow-\infty, f(\infty) \rightarrow \infty \quad ; \quad f(-2)=-8+24+5=21$ and $f(2)=8-24+5=-11$$\therefore$ Three distinct real roots lie in I, II and III"
20," In a $\Delta A B C, A D$ bisects angle $A$ and $D$ lies on $B C$. Length of $A D$ when $\overrightarrow{A B}=2 i+2 j+k$ and $\overrightarrow{A C}=3 i+4 k$ is:@@@", $\frac{3}{8} \sqrt{30}$, $\frac{5}{8} \sqrt{30}$, $\frac{1}{8} \sqrt{30}$, $\frac{\sqrt{30}}{4}$,NULL,b,"$|\overrightarrow{A B}|=3$ and $|\overrightarrow{A C}|=5$$\Rightarrow D \equiv\left(\frac{19}{8}, \frac{10}{8}, \frac{17}{8}\right)$$\left[\because \frac{A B}{A C}=\frac{B D}{D C}\right]$$|\overrightarrow{A D}|=\frac{5}{8} \sqrt{30} \quad[$ Let $A \equiv 0]$"
21," An ellipse in the first quadrant is tangent to co-ordinate axes. If one focus is $\mathrm{F}_{1}(3,7)$, and the other focus is $\mathrm{F}_{2}(\mathrm{~d}, 7)$, then the value of $\sqrt{3 d}$ is equal to@@@",NULL,NULL,NULL,NULL,No Options Found || Right Option not Found instead found : (7),NULL,We have $q_{1} q_{2}=3 d=b^{2}$and $p_{1} p_{2}=49=b^{2}$Hence $3 d=49 \Rightarrow \sqrt{3 d}=\sqrt{49}=7$![original image](https://cdn.mathpix.com/snip/images/HUxMcDYsHMUolrMh315cMRsTqtplYeP4aPK220zCxV0.original.fullsize.png)
22, $A$ and $B$ are two sets comprising of $5$ and $2$ elements each. The number of unordered pair disjoint subsets of $A \times B$ having $5$ elements and $3$ elements respectively are :@@@,NULL,NULL,NULL,NULL,No Options Found || Right Option not Found instead found : (2520),NULL,Number of elements in $A \times B=10$. Number of disjoint subsets of $5$ elements and $3$ elements each are ${ }^{10} C_{5} \times{ }^{5} C_{3}=2520$
23," For all complex numbers $z_{1}, z_{2}$ satisfying $\left|z_{1}\right|=12$ and $\left|z_{2}-3-4 i\right|=5$, the minimum value of $\left|z_{1}-z_{2}\right|$ is@@@",NULL,NULL,NULL,NULL,No Options Found || Right Option not Found instead found : (2),NULL,"We know that, $\left|z_{1}-z_{2}\right| \geq|| z_{1}|-| z_{2}|\ldots(i)$Here $\left|z_{1}\right|=12$ and $\left|z_{2}-3-4 i\right|=5$but $\left|z_{2}-(3+4 i)\right| \geq|| z_{2}|-| 3+4 i||$$\Rightarrow 5 \geq\left|z_{2}\right|-5$$\Rightarrow \left|z_{2}\right| \leq 10$Also from $(i)$ $\left|z_{1}-z_{2}\right|$ will have least value when $\left|z_{2}\right|$ has greatest value i.e. $10$$\therefore \left|z_{1}-z_{2}\right| \geq 12-10=2$Thus min. value of $\left|z_{1}-z_{2}\right|$ is $2$."
24, $\sin ^{2} 12^{\circ}+\sin ^{2} 21^{\circ}+\sin ^{2} 39^{\circ}+\sin ^{2} 48^{\circ}-\sin ^{2} 9^{\circ}-\sin ^{2} 18^{\circ}$ is equal to@@@,NULL,NULL,NULL,NULL,No Options Found || Right Option not Found instead found : (1),NULL,we can write the given expression as$\sin ^{2} 12^{\circ}+\sin ^{2} 21^{\circ}+\left(\sin ^{2} 39^{\circ}-\sin ^{2} 9^{\circ}\right)+\left(\sin ^{2} 48^{\circ}-\sin ^{2} 18^{\circ}\right)$$=\sin ^{2} 12^{\circ}+\sin ^{2} 21^{\circ}+\sin \left(48^{\circ}\right) \sin \left(30^{\circ}\right)+\sin \left(66^{\circ}\right) \sin \left(30^{\circ}\right)$$=\sin ^{2} 12^{\circ}+\sin ^{2} 21^{\circ}+\frac{1}{2} \sin 48^{\circ}+\frac{1}{2} \sin 66^{\circ}$$=\frac{1}{2}\left(1-\cos 24^{\circ}\right)+\frac{1}{2}\left(1-\cos 42^{\circ}\right)+\frac{1}{2} \cos 42^{\circ}+\frac{1}{2} \cos 24^{\circ}$$=1$
25, The value of $\operatorname{Lim}_{n \rightarrow \infty}\left(\sum_{r=1}^{n}\left(\frac{2 r+5}{r^{2}+r}\right)\left(\frac{3}{5}\right)^{r+1}\right)$ is equal to@@@,NULL,NULL,NULL,NULL,No Options Found || Right Option not Found instead found : (1.8),NULL,$\mathrm{T}_{\mathrm{r}}=\frac{5(\mathrm{r}+1)-3 \mathrm{r}}{\mathrm{r}(\mathrm{r}+1)} \cdot\left(\frac{3}{5}\right)^{\mathrm{r}+1}$$=\left(\frac{5}{\mathrm{r}}-\frac{3}{\mathrm{r}+1}\right)_{\mathrm{r}}\left(\frac{3}{5}\right)^{\mathrm{r}+1}$$=\frac{5}{\mathrm{r}} \cdot \frac{3}{5} \cdot\left(\frac{3}{5}\right)^{\mathrm{r}}-\frac{3}{\mathrm{r}+1}\left(\frac{3}{5}\right)^{\mathrm{r}+1}$$=3\left[\frac{1}{\mathrm{r}} \cdot\left(\frac{3}{5}\right)-\frac{1}{\mathrm{r}+1}\left(\frac{3}{5}\right)^{\mathrm{r}+1}\right]$$\therefore \mathrm{S}_{\mathrm{n}}=\sum_{\mathrm{r}=1}^{\mathrm{n}} \mathrm{T}_{\mathrm{r}}$$\mathrm{T}_{1}=3\left[\frac{1}{1}\left(\frac{3}{5}\right)^{1}-\frac{1}{2}\left(\frac{3}{5}\right)^{2}\right]$$\mathrm{T}_{2}=3\left[\frac{1}{2}\left(\frac{3}{5}\right)^{2}-\frac{1}{3}\left(\frac{3}{5}\right)^{3}\right]$$:$$\mathrm{T}_{\mathrm{n}}=3\left[\frac{1}{\mathrm{n}}\left(\frac{3}{5}\right)^{\mathrm{n}}-\frac{1}{\mathrm{n}+1}\left(\frac{3}{5}\right)^{\mathrm{n}+1}\right]$$\mathrm{S}_{\mathrm{n}}=3\left[\frac{3}{5}-\frac{1}{(\mathrm{n}+1)}\left(\frac{3}{5}\right)^{\mathrm{n}+1}\right]$$\therefore \operatorname{Lim}_{\mathrm{n} \rightarrow \infty} \mathrm{S}_{\mathrm{n}}=\frac{9}{5}$
26," Find the greatest angle of a triangle whose sides are $a, b, \sqrt{a^{2}+b^{2}+a b}$@@@",NULL,NULL,NULL,NULL,No Options Found || Right Option not Found instead found : (120),NULL,"As the greater side of a triangle has greater angle opposite to it.$\therefore$ The angle $($ say $C)$ opposite to $\sqrt{a^{2}+b^{2}+a b}=c($ say $)$ is the greatest in this case. Now, $\cos \mathrm{C}=\frac{a^{2}+b^{2}-c^{2}}{2 a b}$$=\frac{a^{2}+b^{2}-\left(a^{2}+b^{2}+a b\right)}{2 a b} \quad\left[\because c^{2}=a^{2}+b^{2}+a b\right]$$=\frac{-a b}{2 a b}=\frac{-1}{2} ; \mathrm{C}=120^{\circ}$"
27," If function $\mathrm{y}=f(\mathrm{x})$ satisfy the differential equation $\left(x^{3}+1\right) d y=x(1-3 x y) d x$ and $f(0)=0$, then $\lim _{x \rightarrow 0} \frac{x^{2}}{f(x)}$ is equal to@@@",NULL,NULL,NULL,NULL,No Options Found || Right Option not Found instead found : (2),NULL,$\left(x^{3}+1\right) d y+3 x^{2} y d x=x d x$$\Rightarrow y\left(x^{3}+1\right)=\frac{x^{2}}{2}+C$$\Rightarrow y=\frac{x^{2}}{2\left(x^{3}+1\right)}$$\lim _{x \rightarrow 0} 2\left(x^{3}+1\right)=2$
28, Two roads $O A$ and $O B$ intersect at an angle of $60^{\circ}$. A car driver approaches $O$ from $A$ where $O A=800 \mathrm{~m}$ at a uniform speed of $20 \mathrm{~m} / \mathrm{sec}$. Simultaneously another car moves from $O$ towards $B$ at a uniform speed of $25 \mathrm{~m} / \mathrm{sec}$. If $t$ is the time when the two cars are closest. then $[t]^{2}$ is equal to $([\mathrm{x}]$ means greatest integer less than or equal to $\mathrm{x})$@@@,NULL,NULL,NULL,NULL,No Options Found || Right Option not Found instead found : (256),NULL,"Let the distance between two cars after $t$ seconds be $\mathrm{s}$. Distance covered by first car in $t$ seconds is $20 t$, so its distance from $O$ will be $(800-20 t \mathrm{~m})$ and the distance covered by second car will be $25 t \mathrm{~m}$.$\frac{1}{2}=\cos 60^{\circ}=\frac{(800-20 t)^{2}+(25 t)^{2}-s^{2}}{(800-20 t) 25 t}$$\Rightarrow s^{2}=(800-20 t)^{2}+625 t^{2}-(40-t) 250 t$For $s$ to be minimum, we have $\frac{\mathrm{d} s}{\mathrm{~d} t}=0$$\Rightarrow-40(800-20 t)+1250 t-(40-t) 250+250 t=0$$\Rightarrow-42000+2550 t=0$$\Rightarrow t=\frac{840}{51} \sec$ so $[t]=16$"
29," Let $T$ and $D$ be number of triangles and diagonals formed by joining vertices of $n$-sided regular polygon respectively such that $T=D+5$, then the value of $n$ is:@@@",NULL,NULL,NULL,NULL,No Options Found || Right Option not Found instead found : (5),NULL,$T={ }^{n} C_{3}$ $\&$ $D=\frac{n(n-3)}{2}$$\Rightarrow n^{3}-6 n^{2}+11 n-30=0 \Rightarrow n=5$
30, $A$ and $B$ are coefficients of terms independent of $x$ in the expansions $\left(x^{2}+\frac{1}{\sqrt{x}}\right)^{10}$ and $\left(\sqrt{x}+\frac{1}{x^{2}}\right)^{10}$. The ratio of $A$ and $B$ is:@@@,NULL,NULL,NULL,NULL,No Options Found || Right Option not Found instead found : (1),NULL,For $\left(x^{2}+\frac{1}{\sqrt{x}}\right)^{10} ; T_{r+1}={ }^{10} C_{r}\left(x^{2}\right)^{10-r}\left(\frac{1}{\sqrt{x}}\right)^{r}={ }^{10} C_{r} x^{\frac{40-5 r}{2}}$For $\left(\sqrt{x}+\frac{1}{x^{2}}\right)^{10} ; T_{r+1}={ }^{10} C_{r}\left(x^{\frac{1}{2}}\right)^{10-r}\left(x^{-2}\right)^{r}={ }^{10} C_{r}(x)^{\frac{10-5 r}{2}}$$\Rightarrow r=8$ and $r=2$ for terms independent of $x$ in two expansions respectively.$\Rightarrow A={ }^{10} C_{8}$ and $B={ }^{10} C_{2} \Rightarrow A: B=1: 1$
